       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        791 27 May 2025 11:32:21     52.484    12.2935  34.559696     1.6027 5.3098e-02    280.314    100.752     52.000    29.4947    22.2653    1492.13 0.0000e+00
        800 27 May 2025 11:32:23     51.475    12.2823  34.539220     1.4968 5.3072e-02    280.337    100.737     51.000    29.4845    22.2595    1492.06 0.0000e+00
        808 27 May 2025 11:32:25     50.465    12.2739  34.523109     1.5919 5.3090e-02    280.036    100.619     50.000    29.4763    22.2545    1492.01 0.0000e+00
        816 27 May 2025 11:32:27     49.456    12.2657  34.508251     1.6135 5.3110e-02    280.340    100.723     49.000    29.4690    22.2504    1491.96 0.0000e+00
        825 27 May 2025 11:32:29     48.446    12.2611  34.501064     1.5406 5.3079e-02    279.930    100.570     48.000    29.4662    22.2490    1491.92 0.0000e+00
        832 27 May 2025 11:32:31     47.437    12.2590  34.496580     1.6240 5.3095e-02    279.858    100.541     47.000    29.4639    22.2476    1491.89 0.0000e+00
        840 27 May 2025 11:32:33     46.428    12.2569  34.492706     1.6600 5.3129e-02    279.733    100.489     46.000    29.4623    22.2467    1491.87 0.0000e+00
        848 27 May 2025 11:32:35     45.418    12.2556  34.489889     1.5908 5.3097e-02    279.571    100.425     45.000    29.4611    22.2460    1491.84 0.0000e+00
        856 27 May 2025 11:32:37     44.409    12.2536  34.484943     1.6504 5.3105e-02    279.812    100.508     44.000    29.4583    22.2442    1491.82 0.0000e+00
        864 27 May 2025 11:32:39     43.399    12.2513  34.480524     1.6284 5.3103e-02    279.686    100.458     43.000    29.4563    22.2431    1491.79 0.0000e+00
        872 27 May 2025 11:32:41     42.390    12.2500  34.476568     1.6346 5.3116e-02    279.657    100.439     42.000    29.4540    22.2414    1491.77 0.0000e+00
        880 27 May 2025 11:32:43     41.381    12.2485  34.472369     1.6197 5.3113e-02    279.441    100.344     41.000    29.4515    22.2398    1491.74 0.0000e+00
        888 27 May 2025 11:32:45     40.371    12.2469  34.466780     1.6273 5.3056e-02    279.466    100.347     40.000    29.4479    22.2373    1491.72 0.0000e+00
        895 27 May 2025 11:32:47     39.362    12.2410  34.454517     1.5455 5.3102e-02    279.300    100.278     39.000    29.4413    22.2332    1491.67 0.0000e+00
