       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        365 27 May 2025 08:37:56      0.828    12.1907  23.016996     2.8563 2.6644e+02    282.957     97.294      0.820    18.9171    14.1041    1478.37 0.0000e+00
        366 27 May 2025 08:37:58      0.864    12.1909  23.022453     2.8639 2.5875e+02    282.151     97.157      0.856    18.9219    14.1078    1478.38 0.0000e+00
        367 27 May 2025 08:37:58      0.908    12.1912  23.030945     2.9364 2.2643e+02    281.313     96.976      0.900    18.9294    14.1135    1478.39 0.0000e+00
        368 27 May 2025 08:37:58      0.959    12.1915  23.044325     2.9631 2.1170e+02    280.068     96.721      0.950    18.9412    14.1226    1478.41 0.0000e+00
        369 27 May 2025 08:37:58      1.014    12.1919  23.065689     3.0737 2.0959e+02    279.175     96.555      1.005    18.9602    14.1373    1478.43 0.0000e+00
        370 27 May 2025 08:37:58      1.075    12.1924  23.100134     3.0718 2.0448e+02    277.917     96.370      1.065    18.9909    14.1609    1478.47 0.0000e+00
        371 27 May 2025 08:37:59      1.143    12.1932  23.155342     3.2340 1.8449e+02    276.996     96.214      1.132    19.0402    14.1988    1478.53 0.0000e+00
        372 27 May 2025 08:37:59      1.219    12.1944  23.241783     3.2378 1.5648e+02    276.063     96.164      1.207    19.1174    14.2582    1478.63 0.0000e+00
        373 27 May 2025 08:37:59      1.302    12.1961  23.375227     3.1825 1.4794e+02    275.875     96.144      1.291    19.2367    14.3501    1478.78 0.0000e+00
        374 27 May 2025 08:37:59      1.393    12.1986  23.578655     3.1672 1.3445e+02    275.025     95.922      1.380    19.4188    14.4903    1479.01 0.0000e+00
        375 27 May 2025 08:37:59      1.488    12.2021  23.865280     3.4724 1.2923e+02    274.147     95.681      1.474    19.6757    14.6880    1479.32 0.0000e+00
