       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        397 28 May 2025 09:25:56     -0.097    13.2592   0.095362     8.1340 1.4902e+03    335.319    102.397     -0.096     0.0597    -0.6078    1459.78 0.0000e+00
        398 28 May 2025 09:25:56     -0.097    13.2574   0.094698   123.8584 1.5072e+03    335.324    102.395     -0.096     0.0594    -0.6079    1459.78 0.0000e+00
        399 28 May 2025 09:25:57     -0.097    13.2556   0.094091   123.8584 1.5195e+03    335.237    102.364     -0.096     0.0590    -0.6079    1459.77 0.0000e+00
        400 28 May 2025 09:25:57     -0.097    13.2538   0.093554   123.8527 1.5486e+03    335.411    102.413     -0.096     0.0587    -0.6079    1459.76 0.0000e+00
        401 28 May 2025 09:25:57     -0.097    13.2521   0.093064   123.8603 1.5776e+03    335.325    102.383     -0.096     0.0584    -0.6079    1459.76 0.0000e+00
        402 28 May 2025 09:25:57     -0.097    13.2505   0.092599   123.8680 1.5537e+03    335.324    102.378     -0.096     0.0581    -0.6080    1459.75 0.0000e+00
        403 28 May 2025 09:25:57     -0.097    13.2490   0.092139   123.8508 1.5442e+03    335.325    102.374     -0.096     0.0578    -0.6080    1459.74 0.0000e+00
        404 28 May 2025 09:25:58     -0.097    13.2476   0.091647   123.8775 1.5251e+03    335.399    102.392     -0.096     0.0575    -0.6080    1459.74 0.0000e+00
        405 28 May 2025 09:25:58     -0.097    13.2461   0.091096   123.8565 2.7280e+02    335.327    102.366     -0.096     0.0572    -0.6081    1459.73 0.0000e+00
        406 28 May 2025 09:25:58     -0.097    13.2447   0.090529   123.8584 2.7919e+02    335.423    102.392     -0.096     0.0569    -0.6082    1459.73 0.0000e+00
        407 28 May 2025 09:25:58     -0.097    13.2433   0.090028     4.0770 6.4354e+02    335.387    102.377     -0.096     0.0566    -0.6082    1459.72 0.0000e+00
        408 28 May 2025 09:25:58     -0.097    13.2418   0.089614     4.0789 4.9034e+02    335.570    102.429     -0.096     0.0563    -0.6082    1459.71 0.0000e+00
        409 28 May 2025 09:26:00     -0.097    13.2404   0.089246    -0.0734 3.0728e+02    335.599    102.434     -0.096     0.0561    -0.6082    1459.71 0.0000e+00
        410 28 May 2025 09:26:00     -0.097    13.2391   0.088875    -0.0849 1.4967e+03    335.567    102.420     -0.096     0.0559    -0.6082    1459.70 0.0000e+00
        411 28 May 2025 09:26:00     -0.096    13.2377   0.088468   123.8661 3.0950e+02    335.572    102.417     -0.096     0.0556    -0.6082    1459.70 0.0000e+00
        412 28 May 2025 09:26:00     -0.096    13.2364   0.088004   123.8699 1.6016e+03    335.656    102.439     -0.096     0.0554    -0.6083    1459.69 0.0000e+00
        413 28 May 2025 09:26:00     -0.096    13.2351   0.087476     1.0634 1.6096e+03    335.703    102.450     -0.095     0.0551    -0.6083    1459.69 0.0000e+00
        414 28 May 2025 09:26:00     -0.096    13.2337   0.086915     1.0748 1.6096e+03    335.759    102.463     -0.095     0.0547    -0.6084    1459.68 0.0000e+00
        415 28 May 2025 09:26:01     -0.096    13.2323   0.086342     0.3328 1.5807e+03    335.784    102.467     -0.095     0.0544    -0.6085    1459.68 0.0000e+00
        416 28 May 2025 09:26:01     -0.096    13.2307   0.085761     0.3233 1.5663e+03    335.830    102.478     -0.095     0.0540    -0.6086    1459.67 0.0000e+00
        417 28 May 2025 09:26:01     -0.095    13.2291   0.085184     0.1173 1.5419e+03    335.894    102.495     -0.094     0.0537    -0.6086    1459.67 0.0000e+00
        418 28 May 2025 09:26:01     -0.095    13.2274   0.084642     0.1249 1.5145e+03    335.841    102.477     -0.094     0.0534    -0.6086    1459.66 0.0000e+00
        419 28 May 2025 09:26:01     -0.095    13.2256   0.084154     0.4416 1.4892e+03    335.649    102.416     -0.094     0.0531    -0.6086    1459.65 0.0000e+00
        420 28 May 2025 09:26:02     -0.095    13.2238   0.083749     0.4244 1.4744e+03    335.681    102.423     -0.094     0.0528    -0.6086    1459.64 0.0000e+00
        421 28 May 2025 09:26:02     -0.095    13.2220   0.083420     0.6209 1.4514e+03    335.721    102.433     -0.094     0.0526    -0.6085    1459.64 0.0000e+00
        422 28 May 2025 09:26:02     -0.095    13.2203   0.083143     0.6189 1.4340e+03    335.614    102.398     -0.095     0.0525    -0.6084    1459.63 0.0000e+00
        423 28 May 2025 09:26:02     -0.096    13.2185   0.082963    -0.0868 1.4938e+03    335.661    102.411     -0.095     0.0524    -0.6083    1459.62 0.0000e+00
        424 28 May 2025 09:26:02     -0.095    13.2168   0.082913    -0.0792 1.5026e+03    335.547    102.381     -0.095     0.0523    -0.6081    1459.62 0.0000e+00
        425 28 May 2025 09:26:04     -0.095    13.2150   0.082949    -0.0677 1.5701e+03    335.639    102.424     -0.094     0.0524    -0.6078    1459.61 0.0000e+00
        426 28 May 2025 09:26:04     -0.095    13.2133   0.083065    -0.0677 1.6466e+03    335.731    102.459     -0.094     0.0524    -0.6075    1459.61 0.0000e+00
        427 28 May 2025 09:26:04     -0.095    13.2116   0.083250    -0.0696 1.6167e+03    335.672    102.442     -0.094     0.0526    -0.6072    1459.60 0.0000e+00
        428 28 May 2025 09:26:04     -0.095    13.2098   0.083460     0.3023 1.5984e+03    335.510    102.390     -0.094     0.0527    -0.6069    1459.59 0.0000e+00
        429 28 May 2025 09:26:04     -0.095    13.2081   0.083706     0.3042 1.5856e+03    335.609    102.416     -0.094     0.0528    -0.6066    1459.59 0.0000e+00
        430 28 May 2025 09:26:05     -0.095    13.2064   0.083992     1.2236 1.4837e+03    335.656    102.427     -0.094     0.0530    -0.6062    1459.58 0.0000e+00
        431 28 May 2025 09:26:05     -0.095    13.2048   0.084303     1.2217 1.5496e+03    335.722    102.443     -0.094     0.0532    -0.6059    1459.58 0.0000e+00
        432 28 May 2025 09:26:05     -0.095    13.2032   0.084664     0.0773 1.5298e+03    335.713    102.436     -0.094     0.0534    -0.6055    1459.57 0.0000e+00
        433 28 May 2025 09:26:05     -0.095    13.2017   0.085098     0.0849 1.5241e+03    335.822    102.465     -0.094     0.0537    -0.6051    1459.56 0.0000e+00
        434 28 May 2025 09:26:05     -0.095    13.2003   0.085643     0.5236 1.5752e+03    335.813    102.459     -0.094     0.0540    -0.6047    1459.56 0.0000e+00
        435 28 May 2025 09:26:05     -0.095    13.1991   0.086374     0.5236 1.5493e+03    335.879    102.476     -0.094     0.0544    -0.6041    1459.56 0.0000e+00
        436 28 May 2025 09:26:06     -0.095    13.1979   0.087411     0.2813 1.5663e+03    335.909    102.484     -0.094     0.0550    -0.6035    1459.55 0.0000e+00
        437 28 May 2025 09:26:06     -0.095    13.1967   0.088967     0.2680 1.5694e+03    335.719    102.425     -0.094     0.0560    -0.6026    1459.55 0.0000e+00
        438 28 May 2025 09:26:06     -0.094    13.1955   0.091390    -0.0696 1.5684e+03    335.766    102.438     -0.093     0.0574    -0.6013    1459.55 0.0000e+00
        439 28 May 2025 09:26:06     -0.094    13.1944   0.095246    -0.0677 1.5513e+03    335.649    102.404     -0.093     0.0598    -0.5994    1459.55 0.0000e+00
        440 28 May 2025 09:26:06     -0.094    13.1933   0.101493     0.5217 1.5605e+03    335.711    102.420     -0.093     0.0635    -0.5963    1459.55 0.0000e+00
